,Code,Year,govtExpend,privateShare,Entity,primaryEnrollment,pop
1309,RWA,2010,17.548059,2.15323996543884,Rwanda,142.340957641602,10039000.0
1310,RWA,2011,15.343379999999998,2.1900799274444602,Rwanda,141.690734863281,10293000.0
1311,RWA,2012,15.815470000000001,2.36511993408203,Rwanda,141.301040649414,10550000.0
1312,RWA,2013,16.859631,2.6688899993896498,Rwanda,137.743423461914,10812000.0
1313,RWA,2014,13.73432,2.90714001655579,Rwanda,133.582321166992,11084000.0
1314,KNA,1985,19.16774,11.534939765930199,Saint Kitts and Nevis,106.30467987060499,42000.0
1315,KNA,1987,13.00741,15.802980422973599,Saint Kitts and Nevis,111.658546447754,41000.0
1316,KNA,1989,9.1400003,15.2816801071167,Saint Kitts and Nevis,110.17249298095699,40000.0
1317,KNA,1991,11.22642,16.3746700286865,Saint Kitts and Nevis,107.297218322754,40000.0
1318,KNA,1992,15.214139999999999,16.279710769653303,Saint Kitts and Nevis,108.55085754394501,41000.0
1319,KNA,1995,13.37853,16.834819793701197,Saint Kitts and Nevis,104.866989135742,42000.0
1320,KNA,1998,14.532520000000002,7.216660022735599,Saint Kitts and Nevis,97.0525665283203,43000.0
1321,KNA,2000,13.68505,14.5911598205566,Saint Kitts and Nevis,106.116821289063,44000.0
1322,KNA,2001,14.207529999999998,17.641799926757802,Saint Kitts and Nevis,102.879463195801,45000.0
1323,KNA,2002,11.059330000000001,13.3850898742676,Saint Kitts and Nevis,99.8140106201172,45000.0
1324,KNA,2003,12.28806,14.6227197647095,Saint Kitts and Nevis,100.093818664551,46000.0
1325,KNA,2004,11.79026,16.4372806549072,Saint Kitts and Nevis,100.298042297363,46000.0
1326,KNA,2005,11.05621,16.6929092407227,Saint Kitts and Nevis,99.1258163452148,47000.0
1327,KNA,2007,13.051810000000001,21.5489292144775,Saint Kitts and Nevis,93.16226196289058,48000.0
1328,LCA,1986,23.2561,1.65768003463745,Saint Lucia,132.108215332031,128000.0
1329,LCA,2001,25.85463,2.9708399772644003,Saint Lucia,104.63616943359399,158000.0
1330,LCA,2003,15.42216,3.1335198879241903,Saint Lucia,103.391258239746,161000.0
1331,LCA,2004,15.041039999999999,2.8168399333953897,Saint Lucia,102.060836791992,162000.0
1332,LCA,2005,16.306971,3.427649974823,Saint Lucia,103.082908630371,163000.0
1333,LCA,2006,19.011379,2.78632998466492,Saint Lucia,107.405746459961,165000.0
1334,VCT,1991,20.69969,3.20472002029419,Saint Vincent and the Grenadines,113.28224945068399,108000.0
1335,VCT,2000,30.7892,4.18599987030029,Saint Vincent and the Grenadines,117.93311309814501,108000.0
1336,VCT,2002,28.701309000000002,5.019309997558589,Saint Vincent and the Grenadines,114.47875213623001,108000.0
1337,VCT,2003,31.475509999999996,4.65939998626709,Saint Vincent and the Grenadines,119.39370727539101,108000.0
1338,VCT,2005,22.59199,2.5646800994873,Saint Vincent and the Grenadines,118.17098999023399,109000.0
1339,VCT,2007,20.03841,3.7983400821685804,Saint Vincent and the Grenadines,108.9541015625,109000.0
1340,VCT,2009,17.338499,6.2780900001525906,Saint Vincent and the Grenadines,105.96304321289101,108000.0
1341,VCT,2010,15.485629999999999,5.00865983963013,Saint Vincent and the Grenadines,105.035293579102,108000.0
1342,WSM,1999,13.41717,15.8442296981812,Samoa,96.05194091796879,174000.0
1343,WSM,2000,10.4613,15.942339897155799,Samoa,96.58142852783199,174000.0
1344,WSM,2001,12.77033,16.6387004852295,Samoa,100.267807006836,175000.0
1345,STP,2009,20.5595,0.25156000256538397,Sao Tome and Principe,124.622871398926,176000.0
1346,STP,2010,19.323589000000002,0.392780005931854,Sao Tome and Principe,121.97354125976601,180000.0
