,Year,Code,Entity,hSpendPerCap,pop,pocketHExp,lifeExp
299,1996,MNG,Mongolia,113.39104842,2317000.0,11.24710735,61.446999999999996
300,1996,MOZ,Mozambique,15.46063499,15960000.0,16.32778229,47.47
301,1996,MRT,Mauritania,80.97211814,2373000.0,61.05258234,60.493
302,1996,MUS,Mauritius,246.35639678,1142000.0,33.95597403,70.406
303,1996,MWI,Malawi,21.71362958,10023000.0,33.47406228,45.677
304,1996,MYS,Malaysia,327.67737755,21018000.0,31.6909882,71.972
305,1996,NAM,Namibia,255.21086353,1663000.0,6.06174012,57.178999999999995
306,1996,NER,Niger,35.04809299,9827000.0,70.21673162,47.306999999999995
307,1996,NGA,Nigeria,97.66675202,110669000.0,75.22884665,45.88
308,1996,NIC,Nicaragua,147.15551469,4742000.0,40.31343924,67.798
309,1996,NLD,Netherlands,1864.16624537,15563000.0,8.12277515,77.642
310,1996,NOR,Norway,2044.5812193,4393000.0,15.273208499999999,77.985
311,1996,NPL,Nepal,55.94968267,22090000.0,69.56069058,59.383
312,1996,NRU,Nauru,903.18943607,11000.0,3.78232774,58.361999999999995
313,1996,NZL,New Zealand,1269.29709026,3717000.0,16.29392513,77.244
314,1996,OMN,Oman,1023.85171465,2237000.0,10.14510062,70.25
316,1996,PAK,Pakistan,86.17119083,127349000.0,70.53243043,61.773
317,1996,PAN,Panama,475.66356894,2796000.0,30.66009558,74.3
318,1996,PER,Peru,208.69928621,24754000.0,39.45142901,69.378
319,1996,PHL,Philippines,107.73639667,71402000.0,48.25049696,68.431
320,1996,PLW,Palau,1493.87810398,18000.0,19.43449184,67.439
321,1996,PNG,Papua New Guinea,51.61264721,5314000.0,7.66406866,58.343999999999994
322,1996,POL,Poland,473.48770333,38510000.0,26.61134386,72.164
323,1996,PRT,Portugal,1095.49772341,10134000.0,23.32911253,75.627
324,1996,PRY,Paraguay,290.52360263,4888000.0,53.20688611,69.69
325,1996,QAT,Qatar,2182.17847498,523000.0,29.56862634,76.90899999999999
326,1996,ROU,Romania,193.60000509,22806000.0,26.78191118,69.587
327,1996,RUS,Russia,306.35678478,148020992.0,18.05514167,65.798
328,1996,RWA,Rwanda,23.98080951,6013000.0,23.77284624,35.38
329,1996,SAU,Saudi Arabia,775.54981581,19034000.0,32.06168805,71.445
330,1996,SDN,Sudan,73.73927468,24782000.0,69.54279357,57.032
331,1996,SEN,Senegal,53.48333446,8913000.0,59.6447788,57.342
332,1996,SGP,Singapore,1011.03424175,3638000.0,49.52347821,76.922
333,1996,SLB,Solomon Islands,50.58601744,370000.0,4.35198391,65.903
334,1996,SLE,Sierra Leone,89.26476118,4313000.0,74.70973903,37.194
335,1996,SLV,El Salvador,325.70859649,5690000.0,57.51324098,67.65100000000001
336,1996,SMR,San Marino,2249.77197974,26000.0,12.78131346,80.624
337,1996,SRB,Serbia,258.42047414,9856000.0,29.44234581,71.869
338,1996,STP,Sao Tome and Principe,108.66844268,134000.0,52.73154453,59.172
339,1996,SUR,Suriname,527.20537014,448000.0,7.99713545,67.753
340,1996,SVK,Slovakia,582.33157164,5385000.0,11.32311023,72.367
341,1996,SVN,Slovenia,1055.90479887,1989000.0,11.79086761,74.767
342,1996,SWE,Sweden,1859.55854074,8859000.0,13.05691698,78.96300000000001
343,1996,SWZ,Eswatini,205.59223558,946000.0,14.6704125,55.606
344,1996,SYC,Seychelles,578.15460027,78000.0,12.06652189,70.734
345,1996,SYR,Syria,172.94984645,14754000.0,64.47368421,72.205
346,1996,TCD,Chad,41.31232081,7251000.0,61.32264789999999,47.498000000000005
347,1996,TGO,Togo,40.75617469,4349000.0,52.77914374,54.36
348,1996,THA,Thailand,274.813856361068,60130000.0,42.4866787647407,70.215
349,1996,TJK,Tajikistan,23.9747919,5851000.0,56.97577277,59.003
350,1996,TKM,Turkmenistan,112.60708814,4287000.0,27.83038287,62.953
351,1996,TON,Tonga,133.24050646,96000.0,26.06076418,69.41
352,1996,TTO,Trinidad and Tobago,511.60521483,1258000.0,42.76635073,68.71300000000001
353,1996,TUN,Tunisia,277.90520817,9267000.0,38.26559147,71.921
354,1996,TUR,Turkey,224.53293050000002,59423000.0,30.84464032,67.57
355,1996,TUV,Tuvalu,215.37812335,9000.0,0.98564602,61.661
356,1996,TZA,Tanzania,35.69238349,30445000.0,48.16822746,49.32899999999999
357,1996,UGA,Uganda,50.01981372,21033000.0,45.97341068,43.898999999999994
358,1996,UKR,Ukraine,236.93228374,50580000.0,26.8498393,67.645
359,1996,URY,Uruguay,959.15196384,3247000.0,18.84529724,73.854
360,1996,USA,United States,3944.28122935,268335008.0,14.22991526,76.222
361,1996,UZB,Uzbekistan,117.50561752,23225000.0,47.96323053,66.494
362,1996,VCT,Saint Vincent and the Grenadines,306.14872208,108000.0,44.09406995,70.736
363,1996,VEN,Venezuela,525.84077457,22386000.0,64.21511927,71.45100000000001
364,1996,VNM,Vietnam,78.92756497,76069000.0,65.27498001,72.168
365,1996,VUT,Vanuatu,47.65494004,172000.0,13.54600213,66.414
366,1996,WSM,Samoa,121.64183678,171000.0,23.44256289,67.491
367,1996,YEM,Yemen,125.93188855,15469000.0,57.20548504,59.096000000000004
